"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-01","0.00","58","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-02","0.00","62","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-03","0.00","60","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-04","0.00","58","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-05","0.00","58","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-06","0.00","59","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-07","0.01","56","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-08","0.00","56","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-09","0.25","54","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-10","0.00","58","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-11","0.15","55","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-12","0.00","55","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-13","0.02","54","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-14","0.28","54","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-15","0.00","53","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-16","1.24","50","43"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-17","0.00","54","43"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-18","0.00","54","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-19","0.00","55","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-20","0.00","57","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-21","0.18","57","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-22","0.00","61","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-23","0.00","59","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-24","0.00","63","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-25","0.00","64","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-26","0.23","58","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-27","0.00","58","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-28","0.09","58","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-29","0.00","59","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-30","0.00","63","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-31","0.00","67","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-01","0.00","63","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-02","0.00","55","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-03","0.00","55","43"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-04","0.00","55","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-05","0.00","61","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-06","0.00","66","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-07","0.00","63","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-08","0.00","61","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-09","0.00","61","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-10","0.00","71","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-11","0.00","74","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-12","0.00","66","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-13","0.00","53","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-14","0.00","60","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-15","0.00","63","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-16","0.00","59","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-17","0.00","69","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-18","0.00","67","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-19","0.00","63","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-20","0.00","66","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-21","0.00","71","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-22","0.00","59","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-23","0.00","58","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-24","0.00","66","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-25","0.00","74","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-26","0.00","73","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-27","0.00","75","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-28","0.00","66","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-02-29","0.00","54","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-01","0.00","59","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-02","0.00","71","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-03","0.00","73","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-04","0.00","74","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-05","0.00","62","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-06","0.01","56","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-07","0.17","55","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-08","0.00","56","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-09","0.00","64","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-10","0.00","71","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-11","0.00","65","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-12","0.00","62","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-13","0.00","61","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-14","0.59","52","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-15","0.30","54","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-16","0.07","54","42"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-17","0.00","55","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-18","0.03","55","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-19","0.00","59","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-20","0.00","64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-21","0.00","63","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-22","0.00","67","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-23","0.00","55","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-24","0.08","57","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-25","0.00","55","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-26","0.00","57","43"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-27","0.00","56","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-28","0.05","57","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-29","0.14","58","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-30","0.00","60","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-31","0.00","62","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-01","0.00","57","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-02","0.00","60","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-03","0.00","58","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-04","0.23","55","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-05","0.24","53","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-06","0.25","51","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-07","0.00","61","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-08","0.00","58","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-09","0.00","61","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-10","0.00","61","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-11","0.00","56","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-12","0.00","62","51"
